,Hour,P95 Runtime
583,2023-07-03 07:00:00,2155.35
584,2023-07-03 08:00:00,1875.63
585,2023-07-03 09:00:00,1617.7
586,2023-07-03 10:00:00,2341.05
587,2023-07-03 11:00:00,2353.46
588,2023-07-03 12:00:00,2323.83
589,2023-07-03 13:00:00,2429.46
590,2023-07-03 14:00:00,2255.08
591,2023-07-03 15:00:00,2170.84
592,2023-07-03 16:00:00,2123.94
593,2023-07-03 17:00:00,2054.62
594,2023-07-03 18:00:00,2077.59
595,2023-07-03 19:00:00,2081.69
596,2023-07-03 20:00:00,2013.87
597,2023-07-03 21:00:00,1828.03
598,2023-07-03 22:00:00,1730.02
599,2023-07-03 23:00:00,1685.99
600,2023-07-04 00:00:00,1710.84
601,2023-07-04 01:00:00,1628.63
602,2023-07-04 02:00:00,1608.8
603,2023-07-04 03:00:00,1691.38
604,2023-07-04 04:00:00,1829.09
605,2023-07-04 05:00:00,2058.64
606,2023-07-04 06:00:00,1898.85
607,2023-07-04 07:00:00,2150.37
608,2023-07-04 08:00:00,1833.69
609,2023-07-04 09:00:00,1575.37
610,2023-07-04 10:00:00,1878.1
611,2023-07-04 11:00:00,2042.06
612,2023-07-04 12:00:00,2147.61
613,2023-07-04 13:00:00,2177.95
614,2023-07-04 14:00:00,2180.46
615,2023-07-04 15:00:00,2045.32
616,2023-07-04 16:00:00,1916.08
617,2023-07-04 17:00:00,1855.99
618,2023-07-04 18:00:00,1933.5
619,2023-07-04 19:00:00,1930.73
620,2023-07-04 20:00:00,1998.98
621,2023-07-04 21:00:00,1840.51
622,2023-07-04 22:00:00,1792.3
623,2023-07-04 23:00:00,1911.88
624,2023-07-05 00:00:00,1976.95
625,2023-07-05 01:00:00,1998.06
626,2023-07-05 02:00:00,2175.55
627,2023-07-05 03:00:00,1983.93
628,2023-07-05 04:00:00,2124.86
629,2023-07-05 05:00:00,2054.49
630,2023-07-05 06:00:00,2007.42
631,2023-07-05 07:00:00,2046.26
632,2023-07-05 08:00:00,1679.03
633,2023-07-05 09:00:00,1599.95
634,2023-07-05 10:00:00,2370.54
635,2023-07-05 11:00:00,2493.25
636,2023-07-05 12:00:00,2348.09
637,2023-07-05 13:00:00,2359.24
638,2023-07-05 14:00:00,2439.88
639,2023-07-05 15:00:00,2411.81
640,2023-07-05 16:00:00,2298.79
641,2023-07-05 17:00:00,2260.68
642,2023-07-05 18:00:00,2239.18
643,2023-07-05 19:00:00,2224.49
644,2023-07-05 20:00:00,2131.34
645,2023-07-05 21:00:00,1871.28
646,2023-07-05 22:00:00,1867.45
647,2023-07-05 23:00:00,1810.44
648,2023-07-06 00:00:00,1864.85
649,2023-07-06 01:00:00,1785.61
650,2023-07-06 02:00:00,1657.86
651,2023-07-06 03:00:00,1591.94
652,2023-07-06 04:00:00,1670.04
653,2023-07-06 05:00:00,1666.83
654,2023-07-06 06:00:00,2062.65
655,2023-07-06 07:00:00,2104.64
656,2023-07-06 08:00:00,1867.1
657,2023-07-06 09:00:00,1958.79
658,2023-07-06 10:00:00,2281.25
659,2023-07-06 11:00:00,2399.92
660,2023-07-06 12:00:00,2101.77
661,2023-07-06 13:00:00,2329.94
662,2023-07-06 14:00:00,2339.03
663,2023-07-06 15:00:00,2355.25
664,2023-07-06 16:00:00,2263.64
665,2023-07-06 17:00:00,2193.98
666,2023-07-06 18:00:00,2291.35
667,2023-07-06 19:00:00,2192.42
668,2023-07-06 20:00:00,2235.4
